median;mean;std;rxns;;;;;;;
0;3.34E-06;5.02E-05;ARGDECARBOX_RXN_c;0;;;;;;
0;1.03E-05;0.000146725;ARGINASE_RXN_m;0;;;;;;
0.000156611;0.000154428;5.24E-06;ARGININE__TRNA_LIGASE_RXN_c;0.003287548;;;;;;
0.000156611;0.000168078;0.000155094;ARGSUCCINLYA_RXN_c;0.003287548;;;;;;
0.000156611;0.000168078;0.000155094;ARGSUCCINSYN_RXN_c;0.003287548;;;;;;
0;1.42E-14;1.42E-12;ARG_CITRULLINE_mc;0;;;;;;
0;0;0;ARG_HIS_mc;0;;;;;;
0;0;0;ARG_LYS_mc;0;;;;;;
0;0.000230035;0.001706576;ARG_ORNITHINE_mc;0;;;;;;
0;-0.000240348;0.001698798;ARG_mc;0;;;;;;
0;0;0;ARYLFORMAMIDASE_RXN_c;0;;;;;;
0;-4.62E-14;4.62E-12;ASCORBATE_CPD_330_mc;0;;;;;;
0;0;0;ASCORBATE_biomass;0;;;;;;
0.000177786;0.000182849;0.000307338;ASNSYNA_RXN_c;0.003732054;;;;;;
0;1.32E-05;0.000160338;ASNSYNB_RXN_c;0;;;;;;
-0.001387208;-0.002011324;0.001988198;ASPAMINOTRANS_RXN_c;-0.029120069;;;;;;
0;-0.000110922;0.001010627;ASPAMINOTRANS_RXN_m;0;;;;;;
0.000429453;0.000907356;0.00228658;ASPAMINOTRANS_RXN_p;0.009015017;;;;;;
0;-1.33E-05;0.000182538;ASPAMINOTRANS_RXN_x;0;;;;;;
0;2.00E-05;0.000338595;ASPARAGHYD_RXN_c;0;;;;;;
0.000177786;0.000192732;0.000298235;ASPARAGINE__TRNA_LIGASE_RXN_c;0.003732054;;;;;;
0.000176264;0.000176713;2.84E-06;ASPARTATE__TRNA_LIGASE_RXN_c;0.003700107;;;;;;
